dataset,input_size,latency_p50,latency_p95,load_ms,pre_ms,inf_ms,post_ms
clean,640,34.89033850019041,83.07878950049587,127.51792720101548,21.865563470023517,1.3744870290065592,0.0012891859969385642
hard,640,29.342157499741006,47.484964450995896,81.77106016201287,20.276483372981602,1.217544797964365,0.0013395600180956047
high_res,640,35.622725000393984,158.49469939912402,25.906839019009567,30.801429329030725,1.2106631580354588,0.0015702479504397559
